plantID,species,type,herbivory_low,herbivory_med,herbivory_high,sampler
n1,rhododendron_macrophyllum,Native,50-60,20-30,10-20,Ching
n2,rhododendron_macrophyllum,Native,20-30,30-40,0-10,Ching
n3,vaccinium_ovatum,Native,30-40,10-20,20-30,Ching
n4,symphoricarpos_albus,Native,10-20,10-20,0-10,Ching
n5,symphoricarpos_albus,Native,10-20,20-30,0-10,Ching
n6,vaccinium_parvifolium,Native,0-10,10-20,0-10,Ching
n7,symphoricarpos_albus,Native,10-20,10-20,0-10,Ching
n8,lupinus_polyphyllus,Native,10-20,0-10,0-10,Ching
n9,vaccinium_ovatum,Native,20-30,0-10,0-10,Ching
n10,vaccinium_ovatum,Native,20-30,10-20,0-10,Ching
n11,vaccinium_ovatum,Native,10-20,0-10,10-20,Ching
n12,vaccinium_ovatum,Native,10-20,0-10,10-20,Ching
n13,rhododendron_macrophyllum,Native,30-40,10-20,20-30,Ching
n14,symphoricarpos_albus,Native,10-20,0-10,0-10,Ching
n15,rhododendron_macrophyllum,Native,20-30,20-30,10-20,Ching
n16,rhododendron_macrophyllum,Native,0-10,0-10,10-20,Jack
n17,rhododendron_macrophyllum,Native,30-40,10-20,0-10,Jack
n18,rhododendron_macrophyllum,Native,10-20,0-10,10-20,Jack
n19,acrctostaphylos_uva_ursi,Native,40-50,0-10,0-10,Jack
n20,symphoricarpos_albus,Native,0-10,10-20,0-10,Jack
n21,symphoricarpos_albus,Native,10-20,10-20,0-10,Jack
n22,symphoricarpos_albus,Native,0-10,0-10,0-10,Jack
n23,vaccinium_ovatum,Native,10-20,20-30,0-10,Jack
n24,vaccinium_ovatum,Native,0-10,0-10,10-20,Jack
n25,vaccinium_ovatum,Native,0-10,50-60,0-10,Jack
n26,vaccinium_ovatum,Native,50-60,0-10,20-30,Jack
n27,vaccinium_ovatum,Native,10-20,80-90,0-10,Jack
n28,berberis_aquifolium,Native,70-80,10-20,10-20,Jack
n29,vaccinium_ovatum,Native,20-30,10-20,0-10,Jack
n30,symphoricarpos_albus,Native,0-10,0-10,0-10,Jack
n31,rhododendron_macrophyllum,Native,10-20,10-20,0-10,Casey
n32,rhododendron_macrophyllum,Native,40-50,10-20,0-10,Casey
n33,rhododendron_macrophyllum,Native,20-30,20-30,20-30,Casey
n34,acrctostaphylos_uva_ursi,Native,0-10,40-50,50-60,Casey
n35,vaccinium_ovatum,Native,20-30,10-20,10-20,Casey
n36,symphoricarpos_albus,Native,0-10,0-10,0-10,Casey
n37,vaccinium_ovatum,Native,10-20,0-10,0-10,Casey
n38,symphoricarpos_albus,Native,0-10,0-10,10-20,Casey
n39,symphoricarpos_albus,Native,0-10,0-10,0-10,Casey
n40,acrctostaphylos_uva_ursi,Native,10-20,10-20,0-10,Casey
n41,gaultheria_shallon,Native,20-30,10-20,0-10,Casey
n42,gaultheria_shallon,Native,10-20,10-20,10-20,Casey
n43,vaccinium_ovatum,Native,0-10,20-30,0-10,Casey
n44,vaccinium_ovatum,Native,0-10,30-40,20-30,Casey
i1,rhododendron_ponticum,Non-Native,0-10,30-40,0-10,Ching
i2,kalmia_latifolia,Non-Native,0-10,10-20,0-10,Ching
i3,portulaca_oleracea,Non-Native,0-10,10-20,0-10,Ching
i4,euonymus_japonicus,Non-Native,40-50,0-10,10-20,Ching
i5,euonymus_japonicus,Non-Native,10-20,0-10,10-20,Ching
i6,viburnum_davidii,Non-Native,30-40,10-20,10-20,Ching
i7,portulaca_oleracea,Non-Native,10-20,20-30,0-10,Ching
i8,euonymus_fortunei,Non-Native,20-30,30-40,30-40,Ching
i9,skimmia_japonica,Non-Native,0-10,0-10,0-10,Ching
i10,rhododendron_ponticum,Non-Native,30-40,10-20,0-10,Ching
i11,lonicera_nitida,Non-Native,10-20,0-10,10-20,Ching
i12,symphoricarpos_orbiculatus,Non-Native,10-20,0-10,20-30,Ching
i13,prunus_lusitanica,Non-Native,40-50,20-30,20-30,Ching
i14,photinia_davidiana,Non-Native,10-20,0-10,0-10,Ching
i15,prunus_lusitanica,Non-Native,10-20,20-30,0-10,Ching
i16,kalmia_latifolia,Non-Native,20-30,10-20,0-10,Jack
i17,portulaca_oleracea,Non-Native,0-10,10-20,0-10,Jack
i18,pieris_japonica,Non-Native,50-60,0-10,0-10,Jack
i19,pieris_japonica,Non-Native,0-10,0-10,0-10,Jack
i20,pieris_japonica,Non-Native,20-30,0-10,10-20,Jack
i21,cotoneaster_franchetii,Non-Native,0-10,10-20,20-30,Jack
i22,rhododendron_ponticum,Non-Native,50-60,0-10,0-10,Jack
i23,cistus_ladanifer,Non-Native,0-10,0-10,0-10,Jack
i24,pieris_japonica,Non-Native,0-10,0-10,0-10,Jack
i25,rhododendron_ponticum,Non-Native,10-20,0-10,20-30,Jack
i26,viburnum_davidii,Non-Native,60-70,10-20,20-30,Jack
i27,viburnum_davidii,Non-Native,20-30,10-20,10-20,Jack
i28,viburnum_davidii,Non-Native,0-10,10-20,20-30,Jack
i29,rhododendron_ponticum,Non-Native,10-20,0-10,0-10,Jack
i30,rhododendron_ponticum,Non-Native,0-10,10-20,0-10,Jack
i31,skimmia_japonica,Non-Native,0-10,0-10,10-20,Casey
i32,rhododendron_ponticum,Non-Native,0-10,10-20,0-10,Casey
i33,pieris_japonica,Non-Native,0-10,0-10,0-10,Casey
i34,viburnum_davidii,Non-Native,20-30,10-20,0-10,Casey
i35,pieris_japonica,Non-Native,10-20,10-20,0-10,Casey
i36,viburnum_tinus,Non-Native,20-30,0-10,0-10,Casey
i37,euonymus_japonicus,Non-Native,0-10,10-20,10-20,Casey
i38,rhododendron_ponticum,Non-Native,0-10,0-10,0-10,Casey
i39,prunus_lusitanica,Non-Native,0-10,0-10,0-10,Casey
i40,prunus_lusitanica,Non-Native,0-10,0-10,0-10,Casey
i41,photinia_davidiana,Non-Native,0-10,0-10,0-10,Casey
i42,photinia_davidiana,Non-Native,0-10,0-10,0-10,Casey
i43,rhododendron_ponticum,Non-Native,0-10,30-40,10-20,Casey
i44,euonymus_japonicus,Non-Native,0-10,10-20,0-10,Casey
i45,skimmia_japonica,Non-Native,0-10,0-10,30-40,Casey
