area,stall,plate_mon,notes
a,271,XE903D,
a,272,WK542L,
a,273,GE394K,
a,274,WS078T,
a,275,TA233P,
a,276,XT067S,
a,277,XT329W,
a,278,XC1405,
a,279,AP960P,
a,280,XN932S,
a,281,KB020F,
a,282,VE587J,
a,283,XK850F,
a,284,XH910V,
a,285,WF904R,
a,286,DF290T,
a,287,PA067S,
a,288,KH184J,
a,289,EW824W,
a,290,TM626R,
a,291,PB30R,
a,292,WJ524P,
a,293,XH3827,
a,294,NV199V,
a,295,SL744L,
a,296,SV2676,
a,297,VG773A,
a,298,MV983F,
a,299,XE571F,
a,300,VW229P,
a,301,VG384E,
a,302,GP743R,
a,303,XE514F,
a,304,WL6792,
b,motorcycle1,NA,
b,motorcycle2,NA,
b,motorcycle3,NA,
b,motorcycle4,NA,
b,motorcycle5,NA,
b,motorcycle6,NA,
b,255,NA,empty
b,256,NA,empty
b,257,NA,empty
b,258,NA,empty
b,259,KR070A,
b,260,399CBL,
b,261,SC648R,
b,262,900XVS,
b,263,671AWG,
b,264,FX577T,
b,265,MR233C,
b,266,EM363H,
b,267,BJAG68,NEW MEXICO plate
b,268,SL5174,TRUCK
b,269,HR969G,
b,270,RB298J,
c,225,XJ623P,
c,226,HK058D,
c,227,KP168F,
c,228,A137GT,
c,229,XJ346E,
c,230,XE789E,
c,231,NE031B,
c,232,NL631B,
c,233,KN020A,
c,234,TM749T,
c,235,TW338R,
c,236,RC5359,
c,237,EF970X,
c,238,274GTC,
c,239,A279JM,
c,240,NA,empty
c,241,KH662K,
c,242,TP703G,
c,243,KX360L,
c,244,RT7035,
c,245,WF177R,
c,246,FA356D,
c,247,NA,empty
c,248,MT800X,
c,249,RN2746,
c,250,VG091V,
c,251,CR673J,
c,252,JS329G,
c,253,PL393T,
c,254,961HTX,
d,192,796MKC,
d,193,WJ899E,
d,194,WB286L,
d,195,DS594T,
d,196,MR751D,
d,197,A174BT,
d,198,A910CG,
d,199,NM577E,
d,200,MT981R,
d,201,WV649A,
d,202,NH514G,
d,203,A898JM,
d,204,PJ838P,
d,205,MH951F,
d,206,ES136N,
d,207,PV012K,
d,208,NW781J,
d,209,XR945K,
d,210,GN386N,
d,211,XG320K,
d,212,JG215D,
d,213,MX159R,
d,214,XN693B,
d,215,PV638J,
d,216,PT686E,
d,217,969PDA,
d,219,NA,empty
e,163,NS562G,
e,164,NX036C,
e,165,TK271H,
e,166,EV062A,
e,167,HG255M,
e,168,TF384V,
e,169,390CDG,
e,170,SB610B,
e,171,CART0,Custom plate
e,172,HWA505,
e,173,VJ528V,
e,174,FP984L,
e,175,VA606N,Getting towed
e,176,RW4096,
e,177,A748AT,
e,178,WP060H,
e,179,WV038D,
e,180,KP384H,
e,181,MN564F,
e,182,VJ999L,
e,183,PR1698,
e,184,VS388X,
e,185,WR060P,
e,186,HP822K,
e,187,VF354A,
e,188,WL630L,
e,189,894FSH,
e,190,PG660D,
e,191,XV542G,
f,131,KL252A,
f,132,NX012C,
f,133,EV007V,
f,134,NX977B,
f,135,SV6I3F,
f,136,RP973J,
f,137,NN933H,
f,138,MP737P,
f,139,193LHM,
f,140,812BEE,
f,141,KG681A,
f,142,SW587F,
f,143,PF757K,
f,144,LD997T,
f,145,MV335B,
f,146,TD067P,
f,147,ME3I7A,
f,148,XK091X,
f,149,SW620X,
f,150,KF799W,
f,151,WW337V,
f,152,PG255V,
f,153,DX986F,
f,154,HS625D,
f,155,MV551F,
f,156,659PGH,
f,157,XH4279,
f,158,VG765X,
g,8-30min,NA,Empty
g,7-30min,RK745X,
g,6-30min,NA,Empty
g,5-30min,XP588X,
g,4-30min,NA,Empty
g,3-30min,H12177,Manitoba
g,2-30min,NA,Empty
g,1-30min,NA,Empty
g,110,SL664N,
g,111,A196BV,
g,112,NW360P,
g,113,0-CE536,Alberta
g,114,014YTT,Idaho
g,115,072XAP,
g,116,GN879D,
g,117,FJ934A,
g,118,BLBSR,Custom
g,119,NW947K,
g,120,107SNN,
g,121,RSO29L,
g,122,TB150M,
g,123,A609CF,
g,124,XF984R,
g,125,XF544N,
g,126,NK866H,
g,127,NA888H,
g,128,TC513H,
