area,stall,plate_weds,notes
a,271,RN2746,
a,272,GE394K,
a,273,MN908F,
a,274,TD067P,
a,275,MT800X,
a,276,MF048N,
a,277,GW864L,
a,278,XR945K,
a,279,RJ991F,
a,280,980WPK,
a,281,JG215D,
a,282,WX671F,
a,283,PA0675,
a,284,XH910V,
a,285,JH213B,
a,286,DF290T,
a,287,LM846C,
a,288,847RAL,
a,289,CMD83292,Alberta
a,290,XV187X,
a,291,TM749T,
a,292,NC238K,
a,293,RG513F,
a,294,XV367F,
a,295,550215,
a,296,SV2676,
a,297,WP9414,
a,298,TM626R,
a,299,XE571F,
a,300,MV983F,
a,301,VG384E,
a,302,894FSH,
a,303,XE514F,
a,304,WL6792,
b,motorcycle1,NA,129
b,motorcycle2,NA,129
b,motorcycle3,NA,129
b,motorcycle4,NA,130 - blocked
b,motorcycle5,NA,130 - blocked
b,motorcycle6,NA,130 - blocked
b,255,NA,Reserved 24 hours
b,256,XA5107,Reserved 24 hours
b,257,NA,Reserved 24 hours
b,258,XR960W,Reserved 24 hours
b,259,KR070A,
b,260,XL100M,
b,261,900XVS,
b,262,VK0498,
b,263,671AWG,
b,264,MR233C,
b,265,LP627R,
b,266,606RGF,
b,267,HJ690D,
b,268,SL5174,
b,269,A806HF,
b,270,RT276M,
c,225,EF912B,
c,226,014YTT,
c,227,VN064J,
c,228,XJ346E,
c,229,SW167N,
c,230,EW824W,
c,231,167MGS,
c,232,JF939H,
c,233,XN693B,
c,234,PN851J,
c,235,DA822K,
c,236,RC5359,
c,237,VW229P,
c,238,NE031B,
c,239,TW338R,
c,240,KX360L,
c,241,KH662K ,
c,242,CA255G,
c,243,327KNK,
c,244,TA591P,
c,245,WF177R,
c,246,CR673J,
c,247,A898JM,
c,248,DS594T,
c,249,HM925H,
c,250,WC816X,
c,251,PL393T,
c,252,SB389A,
c,253,MR519C,
c,254,XB835P,
d,192,MC594N,
d,193,VG765X,
d,194,MJ799T,
d,195,796MKC,
d,196,BG143D,
d,197,RT703S,
d,198,AXR4051,
d,199,ES136N,
d,200,VS016F,
d,201,XK850F,
d,202,XT329W,
d,203,XF874X,
d,204,FR714T,
d,205,RS546M,
d,206,TM273G,
d,207,JH258T,
d,208,A899JM,
d,209,VV870N,
d,210,505LNL,
d,211,LT006T,
d,212,HK861J,
d,213,PJ909B,
d,214,PV012K,
d,215,XE227F,
d,216,PV638J,
d,217,VS575P,
d,219,A335JL,
e,163,NA,Evo spot
e,164,DN830K,Evo spot 
e,165,HG202M,Evo spot
e,166,EV01V,Evo spot
e,167,XR034H,Evo spot
e,168,VS388X,
e,169,SB610B,
e,170,390CDG,
e,171,CARTO,Personalized plate
e,172,RW251K,Parks plate
e,173,VR647S,
e,174,VJ528V,
e,175,NH514G,
e,176,RC047D,Parks plate
e,177,WM775F,
e,178,FD326M,
e,179,WM596X,
e,180,KP384H,
e,181,NP274H,
e,182,JS329G,
e,183,LB045S,
e,184,HP822K,
e,185,VG091V,
e,186,NS529S,
e,187,A174BT,
e,188,812BEE,
e,189,GM276L,
e,190,FA356D,
e,191,VG184G,
f,131,RP512C,
f,132,VE083C,
f,133,TD513A,
f,134,MH951F,
f,135,DX986F,
f,136,CN902F,
f,137,XX069L,
f,138,WE855H,
f,139,NR670N,
f,140,659PGH,
f,141,A089GK,
f,142,FJ934A,
f,143,VJ999L,
f,144,XA245M,
f,145,XE762F,
f,146,KH184J,
f,147,193LHM,
f,148,GE370K,
f,149,HWA505,
f,150,MP737P,
f,151,XE789E,
f,152,TF384V,
f,153,RP973J,
f,154,EV013X,evo 
f,155,WM704B,evo 
f,156,XR006H,evo 
f,157,DN923K,evo 
f,158,EV057X,evo 
g,8-30min,NA,Empty
g,7-30min,RS029L,
g,6-30min,XK153E,UBC Parking Car
g,5-30min,NA,Empty
g,4-30min,VW039M,
g,3-30min,NA,Empty
g,2-30min,RK745X,
g,1-30min,NA,Empty
g,110,NA,Empty
g,111,SL664N,
g,112,NW360P,Modo Car 
g,113,969PDA,
g,114,XX270H,
g,115,961HTX,
g,116,WV649A,
g,117,CD325N,
g,118,BLBSR,Custom licence
g,119,LD997T,
g,120,WG511S,
g,121,107SNN,
g,122,WG629A,
g,123,A914CJ,
g,124,JVD3242,Ohio
g,125,XF544N,
g,126,NA888H,
g,127,XD966M,
g,128,EJ184N,
