exp,time,estimate,actual,inaccuracy
first,2,181.445098,200,9.277451
first,3,179.3308271,200,10.33458645
first,4,202.2091346,200,1.1045673
first,5,178.5962567,200,10.70187165
first,6,189.6648148,200,5.1675926
second,2,166.1402778,160,3.837673625
second,3,145.5592949,128,13.71819914
second,4,124.6754386,102,22.23082216
second,5,90.65878645,82,10.55949567
second,6,73.16633819,66,10.85808817
third,2,12.75,18,29.16666667
third,3,66.5,32,107.8125
third,4,49.62091503,58,14.44669822
third,5,212.75,104,104.5673077
third,6,87.16836735,188,53.63384715
