exp,time,estimate,actual,inaccuracy
first,2,60.87632546,40,52.19081365
first,3,15.22807687,40,61.92980783
first,4,29.57746236,40,26.0563441
first,5,71.18441738,40,77.96104345
first,6,-10.43772471,40,126.0943118
second,2,7.702177666,0,#DIV/0!
second,3,17.37461013,0,#DIV/0!
second,4,-8.737244494,0,#DIV/0!
second,5,-0.361447407,0,#DIV/0!
second,6,-0.27957164,0,#DIV/0!
third,2,48.77439024,16,204.839939
third,3,4.383873681,29,84.8831942
third,4,118.7392905,52,128.3447894
third,5,34.55024258,94,63.24442279
third,6,25.10936192,169,85.1423894
