exp,time,estimate,actual,inaccuracy
first,2,0.65283936,0.8,18.39508
first,3,1.042659875,0.8,30.33248438
first,4,0.736953821,0.8,7.880772375
first,5,0.663397989,0.8,17.07525138
first,6,0.322170411,0.8,59.72869863
second,2,0.829763373,0.8,3.720421625
second,3,0.737162327,0.8,7.854709125
second,4,0.79723827,0.8,0.34521625
second,5,0.811038714,0.8,1.37983925
second,6,0.700862895,0.8,12.39213813
third,2,1.390243902,0.9,54.47154467
third,3,0.680256261,0.9,24.415971
third,4,1.894578313,0.9,110.5087014
third,5,0.247323736,0.9,72.51958489
third,6,0.262602579,0.9,70.82193567
