group_id,method,random_point,x,z,time,
5,ordered_distance,7.82,6.12,NA,16,
5,ordered_distance,3.62,5.72,NA,16,
5,ordered_distance,4.43,5.9,NA,16,
5,ordered_distance,6.81,2.9,NA,16,
5,ordered_distance,9.97,3.6,NA,16,
5,ordered_distance,4.72,5.45,NA,16,
5,tsquare,7.64,4.42,3.59,11,
5,tsquare,8.26,0.3,0.29,11,
5,tsquare,6.72,4.14,1.9,11,
5,tsquare,0.02,1.34,1.8,11,
5,tsquare,2.7,0.64,1.3,11,
5,tsquare,7.63,1.33,3.6,11,
5,variable_area,2.89,26.77,NA,12,
5,variable_area,5.36,14.3,NA,12,
5,variable_area,6.1,5.58,NA,12,
5,variable_area,9.24,3.01,NA,12,
5,variable_area,9.92,7.2,NA,12,
5,variable_area,0.64,7.15,NA,12,
1,tsquare,4,1.67,3.74,18,****Double back group
1,tsquare,6.13,6.03,6.85,18,
1,tsquare,2.43,1.44,1.92,18,
1,tsquare,9.77,4.21,2.9,18,
1,tsquare,5.04,3.46,2.23,18,
1,tsquare,9.1,2.16,1.96,18,
1,ordered_distance,9.24,3.06,NA,5,
1,ordered_distance,8.98,4.35,NA,5,
1,ordered_distance,0.26,3.22,NA,5,
1,ordered_distance,6.83,5.47,NA,5,
1,ordered_distance,5.23,4.9,NA,5,
1,ordered_distance,7.58,3.58,NA,5,
1,variable_area,9.83,2.21,NA,11,
1,variable_area,2.39,10.7,Na,11,
1,variable_area,2.4,5.54,NA,11,
1,variable_area,8.02,12.78,NA,11,
1,variable_area,0.01,12.78,NA,11,
1,variable_area,8.91,9.56,NA,11,
3,variable_area,1.95,11.5,NA,34,
3,variable_area,8.36,15.64,NA,34,
3,variable_area,5.7,10.2,NA,34,
3,variable_area,9.82,11.58,NA,34,
3,variable_area,5.45,6.05,NA,34,
3,variable_area,9.27,9.33,NA,34,
3,tsquare,4.98,1.3,2.2,16,
3,tsquare,8.53,3.1,6,16,
3,tsquare,0.88,3,2.7,16,
3,tsquare,7.03,3.1,5.2,16,
3,tsquare,5.24,3.2,2.4,16,
3,tsquare,3.81,1.4,3.6,16,
3,ordered_distance,5.11,5.5,NA,4,
3,ordered_distance,4.2,13,NA,4,
3,ordered_distance,7.11,9,NA,4,
3,ordered_distance,4.36,9.8,NA,4,
3,ordered_distance,5.56,11.4,NA,4,
3,ordered_distance,5.01,6.7,NA,4,
2,ordered_distance,7.56,7.38,NA,15,
2,ordered_distance,0.04,5.03,NA,15,
2,ordered_distance,5.63,4.04,NA,15,
2,ordered_distance,7.81,5.84,NA,15,
2,ordered_distance,7.65,4.96,NA,15,
2,ordered_distance,8.04,2.43,NA,15,
2,variable_area,7.69,14.61,NA,19,
2,variable_area,9.58,10.07,NA,19,
2,variable_area,6.99,11.43,NA,19,
2,variable_area,7.59,14.62,NA,19,
2,variable_area,2.58,13.92,NA,19,
2,variable_area,3.95,6.19,NA,19,
2,tsquare,9.21,2.9,4.89,7,
2,tsquare,3.55,1.55,3.52,7,
2,tsquare,6.52,3.64,2.02,7,
2,tsquare,2.04,2.08,2.15,7,
2,tsquare,5.46,4.54,2.34,7,
2,tsquare,5.31,2.46,3.34,7,
4,variable_area,2.75,2.26,NA,20,
4,variable_area,5.57,5.49,NA,20,
4,variable_area,6.74,7.69,NA,20,
4,variable_area,9.83,9.63,NA,20,
4,variable_area,2.05,7.38,NA,20,
4,variable_area,1.3,1.78,NA,20,
4,ordered_distance,4.35,5.58,NA,12,
4,ordered_distance,1.48,6.96,NA,12,
4,ordered_distance,3.6,2.3,NA,12,
4,ordered_distance,9.79,3.15,NA,12,
4,ordered_distance,1.9,3.12,NA,12,
4,ordered_distance,5.67,3.66,NA,12,
4,tsquare,0.48,1.2,3.7,10,
4,tsquare,7.87,3.5,2.11,10,
4,tsquare,3.41,2.44,1.32,10,
4,tsquare,0.76,0.25,1.75,10,
4,tsquare,7.28,1.79,1.8,10,
4,tsquare,0.06,1.91,1.71,10,
