group_id,method,random_point,x,z,time
ss,tsquare,9.94,5,4,24
ss,tsquare,3.22,6,5,24
ss,tsquare,5.05,7,4,24
ss,tsquare,2.26,8,5,24
ss,tsquare,3.47,7,4,24
ss,tsquare,6.86,6,4,24
ss,ordered_distance,1.95,12,NA,26
ss,ordered_distance,8.96,13,NA,26
ss,ordered_distance,9.79,11,NA,26
ss,ordered_distance,5.18,12,NA,26
ss,ordered_distance,0.42,13,NA,26
ss,ordered_distance,0.51,11,NA,26
ss,variable_area,6.07,8,NA,25
ss,variable_area,6.47,7,NA,25
ss,variable_area,8.08,8,NA,25
ss,variable_area,5.48,9,NA,25
ss,variable_area,5.78,8,NA,25
ss,variable_area,0.9,7,NA,25
ff,tsquare,2.97,5,4,23
ff,tsquare,7.84,6,5,23
ff,tsquare,6.33,9,4,23
ff,tsquare,3.72,8,5,23
ff,tsquare,7.46,7,6,23
ff,tsquare,3.37,6,4,23
ff,ordered_distance,7.07,12,NA,30
ff,ordered_distance,7.35,13,NA,30
ff,ordered_distance,4.68,11,NA,30
ff,ordered_distance,3.53,12,NA,30
ff,ordered_distance,1.02,14,NA,30
ff,ordered_distance,5.76,11,NA,30
ff,variable_area,8.19,8,NA,27
ff,variable_area,5.7,7,NA,27
ff,variable_area,8.45,10,NA,27
ff,variable_area,4.14,9,NA,27
ff,variable_area,0.84,8,NA,27
ff,variable_area,6.48,7,NA,27
