plantID,species,type,functional_group,height,herbivory_low,herbivory_med,herbivory_high,sampler
n1,Epilobium angustifolium,Native,herb,78.9,70-80%,50-60%,40-50%,Casey
n2,Gaultheria shallon,Native,shrub,84.7,10-20%,20-30%,10-20%,Jack
n3,Rubus spectabilis,Native,shrub,126.8,40-50%,40-50%,40-50%,Jack
n4,Symphyotrichum subspicatum,Native,herb,81.8,40-50%,30-40%,30-40%,Casey
n5,Achillea millefolium,Native,herb,32.4,40-50%,30-40%,40-50%,Ching
n6,Achillea millefolium,Native,herb,37.5,40-50%,30-40%,30-40%,Jack
n7,Achillea millefolium,Native,herb,53.1,50-60%,40-50%,50-60%,Jack
n8,Vaccinium ovatum,Native,shrub,88.5,30-40%,10-20%,30-40%,Jack
n9,Symphyotrichum subspicatum,Native,herb,82.0,30-40%,20-30%,20-30%,Casey
n10,Symphyotrichum subspicatum,Native,herb,79.9,30-40%,30-40%,30-40%,Jack
n11,Achillea millefolium,Native,herb,47.1,40-50%,30-40%,30-40%,Casey
n12,Gaultheria shallon,Native,shrub,81.2,20-30%,30-40%,20-30%,Casey
n13,Vaccinium ovatum,Native,shrub,48.0,30-40%,30-40%,30-40%,Casey
n14,Camassia quamash,Native,herb,41.5,10-20%,10-20%,30-40%,Jack
n15,Camassia quamash,Native,herb,42.4,0-10%,0-10%,0-10%,Casey
n16,Camassia quamash,Native,herb,40.0,20-30%,20-30%,10-20%,Ching
n17,Epilobium angustifolium,Native,herb,90.4,40-50%,30-40%,30-40%,Jack
n18,Solidago canadensis,Native,herb,67.8,40-50%,20-30%,30-40%,Jack
n19,Epilobium angustifolium,Native,herb,123.4,40-50%,50-60%,40-50%,Jack
n20,Epilobium angustifolium,Native,herb,115.4,60-70%,50-60%,40-50%,Jack
n21,Symphyotrichum subspicatum,Native,herb,78.7,30-40%,10-20%,20-30%,Jack
n22,Achillea millefolium,Native,herb,43.7,20-30%,20-30%,30-40%,Casey
n23,Epilobium angustifolium,Native,herb,117.4,50-60%,60-70%,30-40%,Casey
